concept	intro_text	word_count
Eggshell_skull	"The eggshell rule (also thin skull rule, papier-mâché-plaintiff rule, or talem qualem rule) is a well-established legal doctrine in common law, used in some tort law systems, with a similar doctrine applicable to criminal law.  The rule states that, in a tort case, the unexpected frailty of the injured person is not a valid defense to the seriousness of any injury caused to them.

"	64
Emergency	"An emergency is an urgent, unexpected, and usually dangerous situation that poses an immediate risk to health, life, property, or environment and requires immediate action.  Most emergencies require urgent intervention to prevent a worsening of the situation, although in some situations, mitigation may not be possible and agencies may only be able to offer palliative care for the aftermath.
While some emergencies are self-evident (such as a natural disaster that threatens many lives), many smaller incidents require that an observer (or affected party) decide whether it qualifies as an emergency.
The precise definition of an emergency, the agencies involved and the procedures used, vary by jurisdiction, and this is usually set by the government, whose agencies (emergency services) are responsible for emergency planning and management."	125
Eminent_domain	"Eminent domain (United States, Philippines), land acquisition (India, Malaysia, Singapore), compulsory purchase (Ireland, United Kingdom), resumption (Hong Kong, Uganda), resumption/compulsory acquisition (Australia, Barbados, New Zealand, Ireland), or expropriation (Canada, South Africa and all the other countries) is the power of a state, provincial, or national government to take private property for public use. It does not include the power to take and transfer ownership of private property from one property owner to another private property owner without a valid public purpose. This power can be legislatively delegated by the state to municipalities, government subdivisions, or even to private persons or corporations, when they are authorized by the legislature to exercise the functions of public character.The most common uses of property taken by eminent domain have been for roads, government buildings and public utilities. Many railroads were given the right of eminent domain to obtain land or easements in order to build and connect rail networks. In the mid-20th century, a new application of eminent domain was pioneered, in which the government could take the property and transfer it to a private third party for redevelopment. This was initially done only to a property that has been deemed ""blighted"" or a ""development impediment"", on the principle that such properties had a negative impact upon surrounding property owners, but was later expanded to allow the taking of any private property when the new third-party owner could develop the property in such a way as to bring in increased tax revenues to the government.
Some jurisdictions require that the taker make an offer to purchase the subject property, before resorting to the use of eminent domain. However, once the property is taken and the judgment is final, the condemnor owns it in fee simple, and may put it to uses other than those specified in the eminent domain action.
Takings may be of the subject property in its entirety (total take) or in part (part take), either quantitatively or qualitatively (either partially in fee simple or, commonly, an easement, or any other interest less than the full fee simple title)."	347
Enrolled_bill_rule	"The enrolled bill rule is a principle of judicial interpretation of rules of procedure in legislative bodies. Under the doctrine, once a bill passes a legislative body and is signed into law, the courts assume that all rules of procedure in the enactment process were properly followed. That is, ""[i]f a legislative document is authenticated in regular form by the appropriate officials, the court treats that document as properly adopted.""

"	70
Enterprise_liability	"Enterprise liability is a legal doctrine under which individual entities (for example, otherwise legally unrelated corporations or people) can be held jointly liable for some action on the basis of being part of a shared enterprise. Enterprise liability is a form of secondary liability.

"	44
Equal_authenticity_rule	"The equal authenticity rule (French: règle d’égale autorité) is a rule of judicial interpretation developed by Canadian courts as a way of interpreting laws written in parallel French and English texts. The constitution of Canada requires that both versions of each bilingual law be treated as equally authoritative, which can result in problems when the English and French versions are incongruent. The equal authenticity rule is derived from section 133 of the Constitution Act, 1867, which states, inter alia, ""The Acts of the Parliament of Canada and the Legislature of Quebec shall be printed and published in both those Languages [i.e. both English and French].""

"	105
Equity_(law)	"Equity is a particular body of law that was developed in the English Court of Chancery. Its general purpose is to provide a remedy for situations where the law is not flexible enough for the usual court system to deliver a fair resolution to a case. The concept of equity is deeply intertwined with its historical origins in the common law system used in England. However, equity is in some ways a separate system from common law: it has its own established rules and principles, and was historically administered by separate courts, called ""courts of equity"" or ""courts of chancery"".Equity exists in domestic law, both in civil law and in common law systems, and in international law. The tradition of equity begins in antiquity with the writings of Aristotle (epieikeia) and with Roman law (aequitas). Later, in civil law systems, equity was integrated in the legal rules, while in common law systems it became an independent body of law.

"	159
Erga_omnes	"In legal terminology, erga omnes rights or obligations are owed toward all. For instance, a property right is an erga omnes entitlement and therefore enforceable against anybody infringing that right. An erga omnes right (a statutory right) can be distinguished from a right based on contract, which is unenforceable except against the contracting party.
Erga omnes is a Latin phrase which means ""towards all"" or ""towards everyone"".

"	67
Erie_doctrine	"The Erie doctrine is a fundamental legal doctrine of civil procedure in the United States which mandates that a federal court called upon to resolve a dispute not directly implicating a federal question (most commonly when sitting in diversity jurisdiction, but also when applying supplemental jurisdiction to claims factually related to a federal question or in an adversary proceeding in bankruptcy) must apply state substantive law.
The doctrine follows from the Supreme Court landmark decision in Erie Railroad Co. v. Tompkins (1938). The case overturned Swift v. Tyson, which allowed federal judges sitting in a state to ignore the common law local decisions of state courts in the same state in diversity actions."	113
Essential_facilities_doctrine	"The essential facilities doctrine (sometimes also referred to as the essential facility doctrine) is a legal doctrine which describes a particular type of claim of monopolization made under competition laws.  In general, it refers to a type of anti-competitive behavior in which a firm with market power uses a ""bottleneck"" in a market to deny competitors entry into the market.  It is closely related to a claim for refusal to deal.
The doctrine has its origins in United States law, but it has been adopted (often with some modification) into the legal systems of the United Kingdom, Australia, South Africa, and the European Union."	104
Estoppel	"Estoppel is a judicial device in common law legal systems whereby a court may prevent or ""estop"" a person from making assertions or from going back on his or her word; the person being sanctioned is ""estopped"". Estoppel may prevent someone from  bringing a particular claim.  Legal doctrines of estoppel are based in both common law and equity. 
It is also a concept in international law."	66
Evasion_(law)	"Evasion in law, is a fundamental public policy doctrine, which exists also in the conflict of laws.

"	17
Everything_which_is_not_forbidden_is_allowed	"""Everything which is not forbidden is allowed"" is a legal maxim. It is the concept that any action can be taken unless there is a law against it. It is also known in some situations as the ""general power of competence"" whereby the body or person being regulated is acknowledged to have competent judgement of their scope of action.
The opposite principle ""everything which is not allowed is forbidden"" states that an action can only be taken if it is specifically allowed.
A senior English judge, Sir John Laws, stated the principles as: ""For the individual citizen, everything which is not forbidden is allowed; but for public bodies, and notably government, everything which is not allowed is forbidden."" Legal philosopher Ota Weinberger put it this way: ""In a closed system in which all obligations are stated explicitly the following inference rules are valid: (XI) Everything which is not forbidden is allowed"".

"	151
Ex_turpi_causa_non_oritur_actio	"Ex turpi causa non oritur actio (Latin ""from a dishonorable cause an action does not arise"") is a legal doctrine which states that a plaintiff will be unable to pursue legal relief and damages if it arises in connection with their own tortious act. Particularly relevant in the law of contract, tort and trusts, ex turpi causa is also known as the illegality defence, since a defendant may plead that even though, for instance, he broke a contract, conducted himself negligently or broke an equitable duty, nevertheless a claimant by reason of his own illegality cannot sue. The UK Supreme Court provided a thorough reconsideration of the doctrine in 2016 in Patel v Mirza.

"	114
Exceptional_circumstances	"Exceptional circumstances are the conditions required to grant additional powers to a government agency or government leader so as to alleviate, or mitigate, unforeseen or unconventional hardship. The term is commonly used in Australia, where it has been applied in various contexts, most recognizably in relation to special consideration policies for students and drought relief payments for farmers known as Exceptional Circumstances Relief Payments or ECRP.

"	66
Exclusionary_rule	"In the United States, the exclusionary rule is a legal rule, based on constitutional law, that prevents evidence collected or analyzed in violation of the defendant's constitutional rights from being used in a court of law. This may be considered an example of a prophylactic rule formulated by the judiciary in order to protect a constitutional right. The exclusionary rule may also, in some circumstances at least, be considered to follow directly from the constitutional language, such as the Fifth Amendment's command that no person ""shall be compelled in any criminal case to be a witness against himself"" and that no person ""shall be deprived of life, liberty or property without due process of law.""The exclusionary rule is grounded in the Fourth Amendment in the Bill of Rights, and it is intended to protect citizens from illegal searches and seizures. The exclusionary rule is also designed to provide a remedy and disincentive for criminal prosecution from prosecutors and police who illegally gather evidence in violation of the Fifth Amendment and its protection against self-incrimination. The exclusionary rule also protects against violations of the Sixth Amendment, which guarantees the right to counsel.
Most states also have their own exclusionary remedies for illegally obtained evidence under their state constitutions and/or statutes, some of which predate the federal constitutional guarantees against unlawful searches and seizures and compelled self-incrimination.This rule is occasionally referred to as a legal technicality because it allows defendants a defense that does not address whether the crime was actually committed. In this respect, it is similar to the explicit rule in the Fifth Amendment protecting people from double jeopardy.
In strict cases, when an illegal action is used by police/prosecution to gain any incriminating result, all evidence whose recovery stemmed from the illegal action—this evidence is known as ""fruit of the poisonous tree""—can be thrown out from a jury (or be grounds for a mistrial if too much information has been irrevocably revealed).
The exclusionary rule applies to all persons within the United States regardless of whether they are citizens, immigrants (legal or illegal), or visitors."	346
Executive_privilege	"Executive privilege is the right of the president of the United States and other members of the executive branch to maintain confidential communications under certain circumstances within the executive branch and to resist some subpoenas and other oversight by the legislative and judicial branches of government in pursuit of particular information or personnel relating to those confidential communications. The right comes into effect when revealing the information would impair governmental functions. Neither executive privilege nor the oversight power of Congress is explicitly mentioned in the United States Constitution.  However, the Supreme Court of the United States has ruled that executive privilege and congressional oversight each are a consequence of the doctrine of the separation of powers, derived from the supremacy of each branch in its area of constitutional activity.The Supreme Court confirmed the legitimacy of this doctrine in United States v. Nixon in the context of a subpoena emanating from the judiciary instead of emanating from Congress. The Court held that there is a qualified privilege, which once invoked, creates a presumption of privilege, and the party seeking the documents must then make a ""sufficient showing"" that the ""presidential material"" is ""essential to the justice of the case"". Chief Justice Warren Burger further stated that executive privilege would most effectively apply when the oversight of the executive would impair that branch's national security concerns.  Regarding requests from Congress (instead of from the courts) for executive branch information, as of a 2014 study by the Congressional Research Service, only two federal court cases had addressed the merits of executive privilege in such a context, and neither of those cases reached the Supreme Court.In addition to which branch of government is requesting the information, another characteristic of executive privilege is whether it involves a ""presidential communications privilege"" or instead a ""deliberative process privilege"" or some other type of privilege. The deliberative process privilege is often considered to be rooted in common law. In contrast, the presidential communications privilege is often considered rooted in the separation of powers, thus making the deliberative process privilege less difficult to overcome. Generally speaking, presidents, congresses and courts have historically tended to sidestep open confrontations through compromise and mutual deference because of previous practice and precedents regarding the exercise of executive privilege."	375
Exhausted_combination_doctrine	"The exhausted combination doctrine, also referred to as the doctrine of the Lincoln Engineering case, was the doctrine of U.S. patent law that when an inventor invents a new, unobvious device and seeks to patent not merely the new device but also the combination of the new device with a known, conventional device with which the new device cooperates in the conventional and predictable way in which devices of those types have previously cooperated, the combination is unpatentable as an ""exhausted combination"" or ""old combination"".  The doctrine is also termed the doctrine of the Lincoln Engineering case because the United States Supreme Court explained the doctrine in its decision in Lincoln Engineering Co. v. Stewart-Warner Corp. This doctrine has been considered abrogated by the US Congress in 1952, when it passed the 1952 Patent Act."	135
Exhaustion_doctrine_under_U.S._law	"See also Exhaustion of intellectual property rights for a general introduction not limited to U.S. law.The exhaustion doctrine, also referred to as the first sale doctrine, is a U.S. common law patent doctrine that limits the extent to which patent holders can control an individual article of a patented product after a so-called authorized sale. Under the doctrine, once an authorized sale of a patented article occurs, the patent holder's exclusive rights to control the use and sale of that article are said to be ""exhausted,"" and the purchaser is free to use or resell that article without further restraint from patent law. However, under the repair and reconstruction doctrine, the patent owner retains the right to exclude purchasers of the articles from making the patented invention anew (i.e., making another article), unless it is specifically authorized by the patentee to do so.Procedurally, the patent exhaustion doctrine operates as an affirmative defense, shielding authorized purchasers from infringement claims concerning the sale or use (including repair and modification) of a patented product after the patent owner authorized its sale.
Because only an ""authorized"" sale triggers the doctrine, it may be difficult or at least controversial to determine whether the exhaustion doctrine applies in a particular case: for example, when the patentee purports to restrict or condition the use or resale of the patented article once purchased and in the hands of an end user (post-sale restrictions); or when the patentee licenses another to manufacture and use or sell the patented product only in a particular field. The 2008 Supreme Court decision in Quanta Computer, Inc. v. LG Electronics, Inc., arguably leaves unclear the extent to which patentees can avoid the exhaustion doctrine by means of so-called limited licenses (licenses limited to a specified field of use). Since its development by the courts in the late 19th century, the patent exhaustion doctrine has raised questions regarding the scope of exclusive rights granted by patents and the extent to which a patent owner may extend those rights to control downstream use and sales of patented articles."	343
Exhaustion_of_intellectual_property_rights	"The exhaustion of intellectual property rights constitutes one of the limits of intellectual property (IP) rights. Once a given product has been sold under the authorization of the IP owner, the reselling, rental, lending and other third party commercial uses of IP-protected goods in domestic and international markets is governed by the principle.After a product covered by an IP right, such as by a patent right, has been sold by the IP right owner or by others with the consent of the owner, the IP right is said to be exhausted. It can no longer be exercised by the owner. This limitation is also referred to as the exhaustion doctrine or first sale doctrine. For example, if an inventor obtains a patent on a new kind of umbrella, the inventor (or anyone else to whom he sells his patent) can legally prohibit other companies from making and selling this kind of umbrella, but can not prohibit customers who have bought this umbrella from the patent owner from reselling the umbrella to third parties. Or if a piece of software containing a patented algorithm is distributed by the patent owner, then the patent is exhausted.While there is a ""fairly broad consensus"" throughout the world that patent exhaustion ""applies at least within the context of the domestic market"", ""[t]here is less consensus as to what extent the sale of an IP protected product abroad can exhaust the IP rights over this product in the context of domestic law."" The former is the concept of ""national exhaustion"", the latter of ""regional exhaustion"" or ""international exhaustion"". The rules and legal implications of the exhaustion largely differ depending on the country of importation, i.e. the national jurisdiction.The legal concept of international exhaustion is much more controversial, and is recognized in some countries but not in others. The importation, in a country that recognizes the concept of international exhaustion, of a product sold in a foreign country with the authorization of the IP right owner cannot be prevented by the IP right owner. The Agreement on Trade-Related Aspects of Intellectual Property Rights (TRIPS), an international agreement administered by the World Trade Organization (WTO), does not address the issue of exhaustion of intellectual property rights.Brexit in 2020 caused restrictions on trade out of the UK, creating an asymmetric exhaustion status enabling imports to the UK from the EEA where there is no matching opportunity for parallel exports from the UK to the EEA. This was thought in February 2022 to be likely to continue for some time, or even indefinitely.

"	423
Exhaustion_of_remedies	"The doctrine of exhaustion of remedies prevents a litigant from seeking a remedy in a new court or jurisdiction until all claims or remedies have been exhausted (pursued as fully as possible) in the original one. The doctrine was originally created by case law based on the principles of comity.
In the United States, exhaustion of remedies is applied extensively in administrative law. Many cases are handled first by independent agencies of the United States government which have primary responsibility for cases involving the statutes or regulations which the agency administers. 
A person's specific rights and duties depend on the federal statute involved, but here is an outline of how the doctrine works in practice.  ""Exhaustion of administrative remedies"" requires a person to first go to the agency which administers the statute; this process usually involves filing a petition, then going to a hearing, and finally using the agency's internal appeal process.  Once the agency's own procedures are finished, or ""exhausted"", then the aggrieved person can file a complaint in a federal court.  But the doctrine of exhaustion of remedies prevents parties from seeking relief in the courts first.
The same process is required under the laws of many, if not all, states.
Exhaustion of remedies frequently affects cases of habeas corpus. Federal law, for example, prevents a petitioner from seeking federal relief where the state claims have not yet been exhausted.[1] Generally, the exhaustion requirement permits state courts a ""...meaningful opportunity to consider the allegations of legal error."" [2]The issue of exhaustion of remedies in a criminal law case was before the United States Court of Appeals for the Fourth Circuit in Harvey v. Horan."	276
Fair_use	"Fair use is a doctrine in United States law that permits limited use of copyrighted material without having to first acquire permission  from the copyright holder. Fair use is one of the limitations to copyright intended to balance the interests of copyright holders with the public interest in the wider distribution and use of creative works by allowing as a defense to copyright infringement claims certain limited uses that might otherwise be considered infringement. Unlike ""fair dealing"" rights that exist in most countries that were part of the British Empire in the 20th century, the fair use right is a general exception that applies to all different kinds of uses with all types of works and turns on a flexible proportionality test that examines the purpose of the use, the amount used, and the impact on the market of the original work.
The doctrine of ""fair use"" originated in common law during the 18th and 19th centuries as a way of preventing copyright law from being too rigidly applied and ""stifling the very creativity which [copyright] law is designed to foster."" Though originally a common law doctrine, it was enshrined in statutory law when the U.S. Congress passed the Copyright Act of 1976. The U.S. Supreme Court has issued several major decisions clarifying and reaffirming the fair use doctrine since the 1980s, most recently in the 2021 decision Google LLC v. Oracle America, Inc."	234
Faithless_servant	"The faithless servant doctrine is a doctrine under the laws of a number of states in the United States, and most notably New York State law, pursuant to which employees who act unfaithfully towards their employers must forfeit to their employers all compensation received during the period of disloyalty.

"	49
FCC_fairness_doctrine	"The fairness doctrine of the United States Federal Communications Commission (FCC), introduced in 1949, was a policy that required the holders of broadcast licenses both to present controversial issues of public importance and to do so in a manner that fairly reflected differing viewpoints. In 1987, the FCC abolished the fairness doctrine, prompting some to urge its reintroduction through either Commission policy or congressional legislation. However, later the FCC removed the rule that implemented the policy from the Federal Register in August 2011.The fairness doctrine had two basic elements: It required broadcasters to devote some of their airtime to discussing controversial matters of public interest, and to air contrasting views regarding those matters. Stations were given wide latitude as to how to provide contrasting views: It could be done through news segments, public affairs shows, or editorials. The doctrine did not require equal time for opposing views but required that contrasting viewpoints be presented. The demise of this FCC rule has been cited as a contributing factor in the rising level of party polarization in the United States.While the original purpose of the doctrine was to ensure that viewers were exposed to a diversity of viewpoints, it was used by both the Kennedy and later the Johnson administration to combat political opponents operating on talk radio. In 1969 the United States Supreme Court, in Red Lion Broadcasting Co. v. FCC, upheld the FCC's general right to enforce the fairness doctrine where channels were limited. However, the court did not rule that the FCC was obliged to do so. The courts reasoned that the scarcity of the broadcast spectrum, which limited the opportunity for access to the airwaves, created a need for the doctrine.
The fairness doctrine is not the same as the equal-time rule, which is still in place. The fairness doctrine deals with discussion of controversial issues, while the equal-time rule deals only with political candidates."	317
Finality_(law)	"Finality, in law, is the concept that certain disputes must achieve a resolution from which no further appeal may be taken, and from which no collateral proceedings may be permitted to disturb that resolution. For example, in some jurisdictions, those convicted of a crime may not sue their defence attorney for incompetence or legal malpractice if the civil lawsuit would call into question the finality of the criminal conviction.
Finality is considered to be important because otherwise, there would be no certainty as to the meaning of the law, or the outcome of any legal process. The principle is an aspect of the separation of powers, that being a distinction between the executive and the judicial power. That concept was defined in Kable v Director of Public Prosecutions (NSW) in which a court stated that unless orders were valid until set aside, ""the exercise of judicial power could yield no adjudication of right and liability to which immediate effect could be given"". 
The importance of finality is the source of the concept of res judicata: the decisions of one court are settled law and may not be retried in another case brought in a different court. 

"	196
Firm_offer	"A firm offer is an offer that will remain open for a certain period or until a certain time or occurrence of a certain event, during which it is incapable of being revoked. As a general rule, all offers are revocable at any time prior to acceptance, even those offers that purport to be irrevocable on their face.
In the United States, an exception is the merchant firm offer rule set out in Uniform Commercial Code - § 2-205, which states that an offer is firm and irrevocable if it is an offer to buy or sell goods made by a merchant and it is in writing and signed by the offeror. Such an offer is irrevocable even in the absence of consideration. If no time is stated, it is irrevocable for a reasonable time, but in no event may a period of irrevocability exceed three months. Any such term of assurance in a form supplied by the offeree must be separately signed by the offeror.
However, even when the period of irrevocability expires, the offer may still remain open until revoked or rejected according to the general rules regarding termination of an offer.
If the offeree rejects, fails to accept the terms of the offer, fixed or otherwise, or makes a counter-offer, then the original offer is terminated.

"	219
First-sale_doctrine	"The first-sale doctrine (also sometimes referred to as the ""right of first sale"" or the ""first sale rule"") is an American legal concept that limits the rights of an intellectual property owner to control resale of products embodying its intellectual property. The doctrine enables the distribution chain of copyrighted products, library lending, giving, video rentals and secondary markets for copyrighted works (for example, enabling individuals to sell their legally purchased books or CDs to others). In trademark law, this same doctrine enables reselling of trademarked products after the trademark holder puts the products on the market. In the case of patented products, the doctrine allows resale of patented products without any control from the patent holder.  The first sale doctrine does not apply to patented processes, which are instead governed by the patent exhaustion doctrine."	135
Fleeing_felon_rule	"In common law, the fleeing felon rule permits the use of force, including deadly force, against an individual who is suspected of a felony and is in clear flight.

"	29
Floodgates_principle	"The floodgates principle, or the floodgates argument, is a legal principle which is sometimes applied by judges to restrict or limit the right to make claims for damages because of a concern that permitting a claimant to recover in such situations might open the metaphorical ""floodgates"" to large numbers of claims and lawsuits.  The principle is most frequently cited in common law jurisdictions, and in English tort law in particular.
Most of the situations in which the courts have employed the floodgates argument have revolved around liability in tort, and in particular in relation to the liability for nervous shock or for pure economic loss. The rationale in which the floodgates principle has been applied may vary. In some cases it is expressed to be a constraint upon when a defendant will owe a duty of care, in others it is expressed to be a limitation upon the remoteness of damage for which a defendant should be held responsible for.  In other cases it is simply stated as a principle of public policy.
The floodgates principle is arguably the antithesis of the legal maxim: fiat justitia ruat caelum (""let justice be done though the heavens fall"").

"	196
Forum_non_conveniens	"Forum non conveniens (Latin for ""an inconvenient forum"") (FNC) is a mostly common law legal doctrine through which a court acknowledges that another forum or court where the case might have been brought is a more appropriate venue for a legal case, and transfers the case to such a forum. A change of venue might be ordered, for example, to transfer a case to a jurisdiction within which an accident or incident underlying the litigation occurred and where all the witnesses reside.As a doctrine of the conflict of laws, forum non conveniens applies between courts in different countries and between courts in different jurisdictions in the same country. Forum non conveniens is not applicable between counties or federal districts within a state.A concern often raised in applications of the doctrine is forum shopping, or picking a court merely to gain an advantage in the proceeding. This concern is balanced against the public policy of deferring to a plaintiff's choice of venue in claims where there may be more than one appropriate jurisdiction. The underlying principles, such as basing respect given to foreign courts on reciprocal respect or comity, also apply in civil law systems in the form of the legal doctrine of lis alibi pendens.
Forum non conveniens is not exclusive to common law nations: the maritime courts of the Republic of Panama, although not a common law jurisdiction, also have such power under more restrained conditions.

"	237
Fruit_of_the_poisonous_tree	"Fruit of the poisonous tree is a legal metaphor used to describe evidence that is obtained illegally. The logic of the terminology is that if the source (the ""tree"") of the evidence or evidence itself is tainted, then anything gained (the ""fruit"") from it is tainted as well.

"	48
Frustration_of_purpose	"Frustration of purpose, in law, is a defense to enforcement of a contract. Frustration of purpose occurs when an unforeseen event undermines a party's principal purpose for entering into a contract such that the performance of the contract is radically different from performance of the contract that was originally contemplated by both parties, and both parties knew of the principal purpose at the time the contract was made. Despite frequently arising as a result of government action, any third party or even nature can frustrate a contracting party's primary purpose for entering into the contract. The concept is also called commercial frustration.
For example, if Joe gets a mortgage for a new home, suppose after three years, the home is destroyed, through no fault of Joe's. Without a hell or high water clause, Joe might be exempt from the remainder of the mortgage, as the principal purpose of the contract, to have a home to live in, has been compromised. However, he might still have a foreclosure on his credit rating.
Frustration of purpose is often confused with the closely related doctrine of impossibility. The distinction is that impossibility concerns the duties specified in the contract, but frustration of purpose concerns the reason a party entered into the contract. An example is if entrepreneur Emily leases space from landlord Larry so that she can open a restaurant that serves only Tibetan Speckled Lizard meat. If the city rezones the property to forbid commercial uses or if the property is destroyed by a tornado, both Larry and Emily are excused from performing the contract by impossibility.
However, if the Tibetan Speckled Lizard suddenly goes extinct, Emily may be excused from performing the contract because Larry knew her primary purpose for entering into the lease was to serve Tibetan Speckled Lizard, and the purpose has been frustrated. In the second scenario, the parties could still carry out their obligations under the lease, but one of them no longer has a reason to.
The Restatement (Second) of Contracts, Section 265, defines frustration of purpose:

Where, after a contract is made, a party's principal purpose is substantially frustrated without his fault by the occurrence of an event the non-occurrence of which was a basic assumption on which the contract was made, his remaining duties to render performance are discharged, unless the language or circumstances [of the contract] indicate the contrary.
A circumstance is not deemed to be a ""basic assumption on which the contract is made"" unless the change in circumstances could not have been reasonably foreseen at the time the contract was made. As a result, it is rarely invoked successfully. Successful invocations usually come in waves during times of substantial tumult, such as after the passage of Prohibition, when bars and taverns no longer had a reason for their leases, or during major wars, when demand for many consumer goods and services drops far below what is normal.
If the defense is successfully invoked, the contract is terminated, and the parties are left as they are at the time of the litigation."	510
FTC_v._Dean_Foods_Co.	"FTC v. Dean Foods Co., 384 U.S. 597 (1966), is a 1966 decision of the United States Supreme Court holding that the Federal Trade Commission (FTC) may sue in federal court to obtain a preliminary injunction to maintain the status quo against the consummation of a merger that the agency persuasively contends violates the antitrust laws.More broadly, the Dean Foods case stands for the proposition that a federal agency may, by invoking the ""All Writs Act,"" seek equitable relief in federal court against a person's threatened action that will substantially interfere with the agency's performance of its statutory duty and thus adversely affect the relevant court's ability to review the agency's ultimate order with respect to the threatened action.

"	119
Functionality_doctrine	"In United States trademark law, the functionality doctrine prevents manufacturers from protecting specific features of a product by means of trademark law.  There are two branches of the functionality doctrine: utilitarian functionality and aesthetic functionality. The rationale behind functionality doctrine is that product markets would not be truly competitive if newcomers could not make a product with a feature that consumers demand. Utilitarian functionality provides grounds to deny federal trademark protection to product features which do something useful.  Patent law, not trademark, protects useful processes, machines, and material inventions.  Patented designs are presumed to be functional until proven otherwise.  Aesthetic functionality  provides grounds to deny trademark protection to design features which are included to make the product more aesthetically appealing and commercially desirable.  Aesthetic features are within the purview of copyright law, which provides protection to creative and original works of authorship.

"	142
Fundamental_breach	"Fundamental breach of contract, is a controversial concept within the common law of contract. The doctrine was, in particular, nurtured by Lord Denning, Master of the Rolls from 1962 to 1982, but it did not find favour with the House of Lords.
Whereas breach of condition is a serious breach that ""denies the plaintiff the main benefit of the contract"", fundamental breach was supposed to be even worse, with the result that any exclusion clause limiting the defendant's liability would automatically become void and ineffective. Also, whereas breach of condition gives the plaintiff the option to repudiate, fundamental breach automatically discharges the entire contract.Although the concept caused some excitement in the 1950s and 1960s, the concept was regarded as flawed by the Law Lords, whose decision in the Suisse Atlantique substantially curtailed the doctrine, which has now been effectively ""laid to rest"" in England and Canada. The relevant concept in English Law is repudiatory breach of contract.

"	157
Fundamental_principles_recognized_by_the_laws_of_the_Republic	"In France, the fundamental principles recognized by the laws of the Republic (French: principes fondamentaux reconnus par les lois de la République, abbreviated to PFRLR) are certain principles recognized by the Constitutional Council and the Council of State as having constitutional force.
This notion is mentioned briefly in the preamble of the Constitution of 1946. The preamble of the constitution of 1958 references the 1946 preamble, and the constitutional judge, in their decision n°71-44 DC of 16 July 1971, gave constitutional force to this preamble.

"	85
General_principles_of_European_Union_law	"The general principles of European Union law are general principles of law which are applied by the European Court of Justice and the national courts of the member states when determining the lawfulness of legislative and administrative measures within the European Union. General principles of European Union law may be derived from common legal principles in the various EU member states, or general principles found in international law or European Union law. General principles of law should be distinguished from rules of law as principles are more general and open-ended in the sense that they need to be honed to be applied to specific cases with correct results.The general principles of European Union law are rules of law which a European Union judge, sitting for example in the European Court of Justice, has to find and apply but not create. Particularly for fundamental rights, Article 6(3) of the Treaty on European Union provided:

Fundamental rights, as guaranteed by the European Convention for the Protection of Human Rights and Fundamental Freedoms and as they result from the constitutional traditions common to the Member States, shall constitute general principles of the Union's law.Further, Article 340 of the Treaty on the Functioning of the European Union (formerly Article 215 of the Treaty establishing the European Economic Community) expressly provides for the application of the ""general principles common to the laws of the Member States"" in the case of non-contractual liability.In practice the European Court of Justice has applied general principles to all aspects of European Union law. In formulating general principles, European Union judges draw on a variety of sources, including: public international law and its general principles inherent to all legal systems; national laws of the member states, that is general principles common to the laws of all member states, general principles inferred from European Union law, and fundamental human rights. General principles are found and applied to avoid the denial of justice, fill gaps in European Union law and to strengthen the coherence of European Union law.Accepted general principles of European Union Law include fundamental rights, proportionality, legal certainty, equality before the law and subsidiarity. In Case T-74/00 Artegodan, the General Court (then Court of First Instance) appeared willing to extrapolate from the limited provision for the precautionary principle in environmental policy in Article 191(2) TFEU to a general principle of EU law."	392
Good_faith	In human interactions, good faith (Latin: bona fides) is a sincere intention to be fair, open, and honest, regardless of the outcome of the interaction. Some Latin phrases have lost their literal meaning over centuries, but that is not the case with bona fides, which is still widely used and interchangeable with its generally-accepted modern-day English translation of good faith. It is an important concept within law and business. The opposed concepts are bad faith, mala fides (duplicity) and perfidy (pretense).	81
Good-faith_exception	"In United States constitutional law, the good-faith exception (also good-faith doctrine) is a legal doctrine providing an exemption to the exclusionary rule. 
The exemption allows evidence collected in violation of privacy rights as interpreted from the Fourth Amendment to be admitted at trial if police officers acting in good faith (bona fides) relied upon a defective search warrant — that is, they had reason to believe their actions were legal (measured under the reasonable person test). 
The rule was established in the two companion cases decided by the U.S. Supreme Court in 1984: United States v. Leon, 468 U.S. 897 (1984), and Massachusetts v. Sheppard, 468 U.S. 981 (1984). The exception permits the courts to consider the mental state of the police officer.
Not all states follow the good faith exception to the exclusionary rule, such as New York in People v. Bigelow, 488 N.E.2d 451 (N.Y. 1985).

"	148
Gravi_de_pugna	"Gravi de pugna is a forged letter written in the name of Augustine of Hippo which asserts that the morally superior side is always superior in battle and therefore that wars are proven to be just wars by their military success. The letter was widely accepted as authentic, and reassured soldiers that God was on their side.

"	57
